language,level,context,subcontext,dialogue_txt,side,order_id,special_words
Spanish,A1,Socialising in the country,Interview arrangements,Will it be face-to-face or online?,A,5,presencial / en linea
Spanish,A1,Socialising in the country,Interview arrangements,"Face-to-face so I need to be prepared. It's not far from here, only 3 stops on the no.32 bus. ",B,6,solo 3 paradas en la línea 32  de autobús
Spanish,A1,Socialising in the country,Interview arrangements,"Good luck, my friend I will be thinking of you. You will do great!",A,7,
Spanish,A1,Socialising in the country,Interview arrangements,Thank you! I will let you know how it goes. ,B,8,haré saber
Spanish,A2,Making Appointments,Dentist,"Hi there. I would like to book an appointment with my dentist, Clara. ",A,1,
Spanish,A2,Making Appointments,Dentist,"Hi there, I'm sorry but Clara is not available at the moment. Could I put you down with someone else?",B,2,darle cita
Spanish,A2,Making Appointments,Dentist,Clara has done my teeth for the past 10 years. She is very professional and I trust her. Where is she?,A,3,cuidado mis dientes / confío
Spanish,A2,Making Appointments,Dentist,She is on holiday until the 22nd. I can book you in with Clara on the 30th.,B,4,
Spanish,A2,Making Appointments,Dentist,That is too long to wait. Do you not have anything sooner?,A,5,antes
Spanish,A2,Making Appointments,Dentist,Let me check for you. There is a cancellation on the 25th at 13:00. Would you like this appointment?,B,6,cancelación / cita
Spanish,A2,Making Appointments,Dentist,Yes please. Thank you for that. I will see you then. Bye!,A,7,
Spanish,A2,Making Appointments,Dentist,"No problem, Clara will see you then. Goodbye! ",B,8,
Spanish,A1,Ordering food and drink,Coffee Order,Could I please have a regular decafe latte.,A,1,descafeinado con leche
Spanish,A1,Ordering food and drink,Coffee Order,"We have no decafe, sorry about that.",B,2,
Spanish,A1,Ordering food and drink,Coffee Order,"That's okay, I'll just have a regular latte then, and could I get that iced.",A,3,con hielo
Spanish,A1,Ordering food and drink,Coffee Order,Yes.,B,4,
Spanish,A1,Ordering food and drink,Coffee Order,"And, do you have sugar-free syrup?",A,5,almíbar sin azúcar 
Spanish,A1,Ordering food and drink,Coffee Order,"We have sugar-free caramel, vanilla and hazelnut.",B,6,
Spanish,A1,Ordering food and drink,Coffee Order,"Could I get the sugar-free vanilla please, and could I get that with oat milk please.",A,7,leche de avena
Spanish,A1,Ordering food and drink,Coffee Order,Is that to have in or to go?,B,8,Es para tomar aquí o para llevar
Spanish,A1,Ordering food and drink,Coffee Order,To go please.,A,9,
Spanish,A1,Making Appointments,Spelling your name,"Hello, can I make an appointment for tomorrow.",A,1,
Spanish,A1,Making Appointments,Spelling your name,We're booked for the next week unfortunately.,B,2,hemos reservado
Spanish,A1,Making Appointments,Spelling your name,Can I book for next week Tuesday then?,A,3,
Spanish,A1,Making Appointments,Spelling your name,"Of course, what time?",B,4,
Spanish,A1,Making Appointments,Spelling your name,at 10am please.,A,5,
Spanish,A1,Making Appointments,Spelling your name,What's your name?,B,6,
Spanish,A1,Making Appointments,Spelling your name,Jessica Taylor,A,7,
Spanish,A1,Making Appointments,Spelling your name,Can you spell that for me?,B,8,
Spanish,A1,Making Appointments,Spelling your name,"Yes, J E S S I C A, T A Y L O R.",A,9,
Spanish,A1,Making Appointments,Spelling your name,"That's all done for you, see you next week.",B,10,
Spanish,A1,Making Appointments,Spelling your name,"Thank you, see you then.",A,11,
Spanish,A1,Basic employment issues,Inteview,"Good afternoon, how can I help you?",A,1,
Spanish,A1,Basic employment issues,Inteview,"Good afternoon, I have an interview here today.",B,2,
Spanish,A1,Basic employment issues,Inteview,What time is the interview?,A,3,
Spanish,A1,Basic employment issues,Inteview,at 13:30.,B,4,
Spanish,A1,Basic employment issues,Inteview,With who?,A,5,
Spanish,A1,Basic employment issues,Inteview,it's with Johnathan.,B,6,
Spanish,A1,Basic employment issues,Inteview,"Johnathan works in the other building, it's not far.",A,7,
Spanish,A1,Basic employment issues,Inteview,How do I get there?,B,8,
Spanish,A1,Basic employment issues,Inteview,If you go right when you leave the building and then turn left. Best of luck with the interview.,A,9,
Spanish,A1,Basic employment issues,Inteview,Thank you very much.,B,10,
Spanish,A1,Ordering food and drink,Water for table,"Good evening, how is it going?",A,1,
Spanish,A1,Ordering food and drink,Water for table,Excellent thanks.,B,2,
Spanish,A1,Ordering food and drink,Water for table,Can I get you some drinks while you look at the menu?,A,3,
Spanish,A1,Ordering food and drink,Water for table,"Yes, can we get tap water for the table and two lemonades.",B,4,
Spanish,A1,Ordering food and drink,Water for table,I'll get that for you now. Is this your daughter? She's beautiful.,A,5,
Spanish,A1,Ordering food and drink,Water for table,"Actually, she's my wife.",B,6,
Spanish,A1,Ordering food and drink,Water for table,"Of course, excuse me, I'll get your drinks.",A,7,
Spanish,A2,Ordering food and drink,Reservation,Hi there. Do you have a table for 4?,A,1,
Spanish,A2,Ordering food and drink,Reservation,Good evening. Do you have a reservation with us?,B,2,
Spanish,A2,Ordering food and drink,Reservation,"Yes, I do, for 8 pm",A,3,
Spanish,A2,Ordering food and drink,Reservation,What is your name?,B,4,
Spanish,A2,Ordering food and drink,Reservation,It's Jones.,A,5,
Spanish,A2,Ordering food and drink,Reservation,"Ok, I can see your booking. I am sorry, the table isn't ready yet. It will be about 30 minutes. ",B,6,
Spanish,A2,Ordering food and drink,Reservation,"I'm sorry, but I booked the table for 8pm - and it is now 8pm. ",A,7,
Spanish,A2,Ordering food and drink,Reservation,"I do understand, but the people who booked the table at 6pm have not finished their meal. ",B,8,
Spanish,A2,Ordering food and drink,Reservation,"Well, I suggest that you ask them to hurry up. We are going to sit down. ",A,9,
Spanish,A2,Ordering food and drink,Reservation,May I ask you to wait in the bar while I get your table ready. ,B,10,
Spanish,A2,Ordering food and drink,Reservation,Ha! That's a typical trick! You delay the table and ask me to wait in the bar so that I have to buy some drinks!,A,11,
Spanish,A2,Ordering food and drink,Reservation,That is not what I intended. I am sorry that your table is not ready. Please can you wait in the bar. May I get you a drink on the house?,B,12,
Spanish,A2,Ordering food and drink,Reservation,That sounds more like it. ,A,13,
Spanish,A2,Going shopping and asking for prices,Payment,Hi there. May I pay for these items please?,A,1,
Spanish,A2,Going shopping and asking for prices,Payment,"Hello, yes of course. Your total is £35. Will you be paying by cash or card?",B,2,
Spanish,A2,Going shopping and asking for prices,Payment,"Card, please. ",A,3,
Spanish,A2,Going shopping and asking for prices,Payment,No problem. You can insert or touch your card to the machine. ,B,4,
Spanish,A2,Going shopping and asking for prices,Payment,Thank you. ,A,5,
Spanish,A2,Going shopping and asking for prices,Payment,I'm sorry your card hasn't worked. Can you try again?,B,6,
Spanish,A2,Going shopping and asking for prices,Payment,Let me try another card. Here it is!,A,7,
Spanish,A2,Going shopping and asking for prices,Payment,"I'm sorry, but this card hasn't worked either. ",B,8,
Spanish,A2,Going shopping and asking for prices,Payment,How embarassing. I will go and get some cash from the bank. ,A,9,
Spanish,A2,Going shopping and asking for prices,Payment,Ok. No problem. I can hold onto your shopping for 30 minutes. ,B,10,
Spanish,A2,Going shopping and asking for prices,Payment,I will be back as soon as possible. ,A,11,
Spanish,B1,Going shopping and asking for prices,Payment,Hi there. May I pay for these items please?,A,1,
Spanish,B1,Going shopping and asking for prices,Payment,"Hello, yes of course. Your total is £255. Will you be paying by cash or card?",B,2,
Spanish,B1,Going shopping and asking for prices,Payment,£255! Are you sure? ,A,3,
Spanish,B1,Going shopping and asking for prices,Payment,"Yes. You have bought 2 pairs of trousers at £65 each, and a jumper - that's £125. That's £255 in total. ",B,4,
Spanish,B1,Going shopping and asking for prices,Payment,Oh. That is too much. I will only buy one of the pairs of trousers. ,A,5,
Spanish,B1,Going shopping and asking for prices,Payment,Which one - the blue or the black. ,B,6,
Spanish,B1,Going shopping and asking for prices,Payment,The blue. I'm so sorry about this. ,A,7,
Spanish,B1,Going shopping and asking for prices,Payment,"Not a problem. Right, so, that's one pair of trousers at £65 and a jumper at £125. So, £190 please.",B,8,
Spanish,B1,Going shopping and asking for prices,Payment,Ok. Here's my card. ,A,9,
Spanish,B1,Going shopping and asking for prices,Payment,"Right, please can you insert your card. Oh, I'm sorry, the payment has not been authorised. ",B,10,
Spanish,B1,Going shopping and asking for prices,Payment,Oh dear. I think I'll leave it. Bye. ,A,11,
Spanish,A1,Ordering food and drink,Reservation,Hi there. Do you have a table for 4?,A,1,
Spanish,A1,Ordering food and drink,Reservation,Good evening. Do you have a reservation with us?,B,2,
Spanish,A1,Ordering food and drink,Reservation,I'm sorry I don't. ,A,3,
Spanish,A1,Ordering food and drink,Reservation,I'm afraid we're very busy tonight so there are no free tables. Would you like to wait or come back later?,B,4,
Spanish,A1,Ordering food and drink,Reservation,How long is the wait for a table? ,A,5,
Spanish,A1,Ordering food and drink,Reservation,It is about one hour. I'm sorry about that. Are you happy to wait at the bar? ,B,6,
Spanish,A1,Ordering food and drink,Reservation,"Yes, no problem at all. We know this restaurant is popular. ",A,7,
Spanish,A1,Ordering food and drink,Reservation,I need to book you in. What is your name?,B,8,
Spanish,A1,Ordering food and drink,Reservation,Smith.,A,9,
Spanish,A1,Ordering food and drink,Reservation,Great. You are booked in for 9 o'clock. The bar is over there. I will call you when your table is ready. ,B,10,
Spanish,A1,Asking and giving directions,Delivery Driver,Hello there. Is this John?,A,1,
Spanish,A1,Asking and giving directions,Delivery Driver,"Hi, yes it is. Who's speaking?",B,2,
Spanish,A1,Asking and giving directions,Delivery Driver,"This is Anna, the delivery driver. I am having trouble finding your house. ",A,3,
Spanish,A1,Asking and giving directions,Delivery Driver,Where are you right now?,B,4,
Spanish,A1,Asking and giving directions,Delivery Driver,I'm parked outside the train station. The train station is on my left. ,A,5,
Spanish,A1,Asking and giving directions,Delivery Driver,"Oh, you're close by. Just cross the street, my house is number 12. It has a red door. ",B,6,
Spanish,A1,Asking and giving directions,Delivery Driver,"Oh yes, I see it. I will be there soon. Goodbye!",A,7,
Spanish,A1,Asking and giving directions,Delivery Driver,See you soon. Goodbye!,B,8,
Spanish,A2,Health matters,Sick relative,"Hey, what are your plans for Saturday night?",A,1,
Spanish,A2,Health matters,Sick relative,"I'm in Italy, didn't you know?",B,2,
Spanish,A2,Health matters,Sick relative,"Oh no, I didn't know that. When will you return?",A,3,
Spanish,A2,Health matters,Sick relative,"I meant to stay for 2 weeks but my grandma is unwell, so I am staying another week.",B,4,
Spanish,A2,Health matters,Sick relative,I hope she gets well soon.,A,5,
Spanish,A2,Health matters,Sick relative,"Thank you, it seems as if she will.",B,6,
Spanish,A2,Health matters,Sick relative,"Let me know if you want to talk about it, okay. ",A,7,
Spanish,A2,Health matters,Sick relative,"I will, thank you for offering. Take care, speak soon.",B,8,
Spanish,A2,Health matters,Sick relative,Take care.,A,9,
Spanish,A2,Making invitations,Charity,"Good morning sir, can I speak with you for a moment?",A,1,
Spanish,A2,Making invitations,Charity,"No, I am busy.",B,2,
Spanish,A2,Making invitations,Charity,It will just take a second.,A,3,
Spanish,A2,Making invitations,Charity,I am going to work.,B,4,
Spanish,A2,Making invitations,Charity,I just wanted to speak to you about our charitable organisation.,A,5,
Spanish,A2,Making invitations,Charity,I am not interested.,B,6,
Spanish,A2,Making invitations,Charity,So you don't give to charity?,A,7,
Spanish,A2,Making invitations,Charity,Stop following me.,B,8,
Spanish,A2,Making invitations,Charity,"But sir, if you give me your email then you can choose to sign up or not in your own time.",A,9,
Spanish,A2,Making invitations,Charity,Leave me alone.,B,10,
Spanish,A2,Making invitations,Lunch,Do you want to go for lunch at the weekend?,A,1,
Spanish,A2,Making invitations,Lunch,"I'm afraid not, I work on weekends.",B,2,
Spanish,A2,Making invitations,Lunch,Which days do you have off next week?,A,3,
Spanish,A2,Making invitations,Lunch,I am free on Tuesday and Wednesday,B,4,
Spanish,A2,Making invitations,Lunch,I go to University on those days unfortunately.,A,5,
Spanish,A2,Making invitations,Lunch,"That's a shame, what about on Monday morning?",B,6,
Spanish,A2,Making invitations,Lunch,I am also free on Monday morning. How about we meet at 10 at the cafe near your house.,A,7,
Spanish,A2,Making invitations,Lunch,"Perfect, see you on Monday.",B,8,
Spanish,A2,Making invitations,Lunch,See you then!,A,9,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"Hi, can I buy this phone?",A,1,
Spanish,B2,Going shopping and asking for prices,Phone purchase,Did you make a reservation?,B,2,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"No, I didn't.",A,3,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"You need a reservation, I can make one for you but it will be in about 30 minutes. Is that okay?",B,4,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"No, that's way too long to wait to buy a phone.",A,5,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"Well, unfortunately, we are extremely busy because of the launch of our newest phone, and two models have sold out already today. So if you can wait a little while we can get you a slot. Is that okay?",B,6,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"Fine, I will make the reservation. But is there anything you can offer me in return for my having to wait?",A,7,
Spanish,B2,Going shopping and asking for prices,Phone purchase,"I'm afraid not, we have to do reservations today because we are so busy. Next time you should book online to avoid the wait.",B,8,
Spanish,A2,Ordering food and drink,Delayed drinks order,"Excuse me, where is my coffee. I've been waiting over 20 minutes.",A,1,
Spanish,A2,Ordering food and drink,Delayed drinks order,"We're really busy, they are making the drinks as fast as they can, can you wait a little longer?",B,2,
Spanish,A2,Ordering food and drink,Delayed drinks order,"This is unacceptable, I am very busy this morning. Some people who ordered after me have already got their drinks.",A,3,
Spanish,A2,Ordering food and drink,Delayed drinks order,"I'm sorry, I will check how long it will be. What did you order?",B,4,
Spanish,A2,Ordering food and drink,Delayed drinks order,"Thank you, I ordered a mocha.",A,5,
Spanish,A2,Ordering food and drink,Delayed drinks order,"Sorry there was a mix up, I will make it for you right away.",B,6,
Spanish,A2,Ordering food and drink,Delayed drinks order,Thank you very much.,A,7,
Spanish,A1,Exchanging personal information,Instagram,"It's getting late, I think I'm gonna head off.",A,1,
Spanish,A1,Exchanging personal information,Instagram,"That's a shame, it was nice getting to know you.",B,2,
Spanish,A1,Exchanging personal information,Instagram,I know. But I have to work. ,A,3,
Spanish,A1,Exchanging personal information,Instagram,I understand. I work too.,B,4,
Spanish,A1,Exchanging personal information,Instagram,"Well, bye.",A,5,
Spanish,A1,Exchanging personal information,Instagram,"Oh, can I get your number?",B,6,
Spanish,A1,Exchanging personal information,Instagram,"Sorry, I don't give out my number.",A,7,
Spanish,A1,Exchanging personal information,Instagram,What about your instagram?,B,8,
Spanish,A1,Exchanging personal information,Instagram,"Sure, I suppose.",A,9,
Spanish,A1,Exchanging personal information,Instagram,What's your username?,B,10,
Spanish,A2,Socialising in the country,Family size,Who were you chatting to in the cafe?,A,1,
Spanish,A2,Socialising in the country,Family size,"Oh, that's Suzanna.",B,2,
Spanish,A2,Socialising in the country,Family size,How do you know each other?,A,3,
Spanish,A2,Socialising in the country,Family size,She's my sister.,B,4,
Spanish,A2,Socialising in the country,Family size,Really? But you don't look alike.,A,5,
Spanish,A2,Socialising in the country,Family size,"Yes, she's my half sister actually. Do you have any siblings?",B,6,
Spanish,A2,Socialising in the country,Family size,"No, I'm an only child.",A,7,
Spanish,A2,Socialising in the country,Family size,You are lucky!  I have five sisters - it is very noisy at home.,B,8,
Spanish,A2,Socialising in the country,Family size,I think you are lucky. How nice to have a big family.,A,9,
Spanish,A2,Socialising in the country,Family size,"Yes, we are. And we also have 3 dogs and 2 cats. How about you?",B,10,
Spanish,A2,Socialising in the country,Family size,"No, my mum hates animals.",A,11,
Spanish,A2,Socialising in the country,Family size,Must have been very quiet at home then!,B,12,
Spanish,A2,Socialising in the country,Family size,"Yes, it was very quiet. But I had many good friends. ",A,13,
Spanish,A2,Ordering food and drink,QR Code,"Good morning, can I get a large almond milk latte please?",A,1,
Spanish,A2,Ordering food and drink,QR Code,"Sorry about this but, we are all out of almond milk. We do have oat milk or soya milk though. ",B,2,
Spanish,A2,Ordering food and drink,QR Code,In that case I'll just have a peppermint tea.,A,3,
Spanish,A2,Ordering food and drink,QR Code,"Sorry about that, can I get you anything else?",B,4,
Spanish,A2,Ordering food and drink,QR Code,"No, thank you.",A,5,
Spanish,A2,Ordering food and drink,QR Code,That'll be 2.40 please.,B,6,
Spanish,A2,Ordering food and drink,QR Code,I have a subscription with you.,A,7,
Spanish,A2,Ordering food and drink,QR Code,Can you scan the QR code for me?,B,8,
Spanish,A2,Ordering food and drink,QR Code,No problem. ,A,9,
Spanish,A2,Ordering food and drink,QR Code,Thank you. Have a nice day.,B,10,
Spanish,A2,Ordering food and drink,QR Code,You too!,A,11,
Spanish,A2,Making Appointments,Doctor,"Good Morning, I'd like to make an appointment with Dr Tiberal.",A,1,
Spanish,A2,Making Appointments,Doctor,What's your date of birth?,B,2,
Spanish,A2,Making Appointments,Doctor,27th of June 1989,A,3,
Spanish,A2,Making Appointments,Doctor,And your name?,B,4,
Spanish,A2,Making Appointments,Doctor,It's Jane Brown.,A,5,
Spanish,A2,Making Appointments,Doctor,"Thank you. So, Ms Brown, what's the problem?",B,6,
Spanish,A2,Making Appointments,Doctor,I have had an earache for the last two days and I would like to see the doctor.,A,7,
Spanish,A2,Making Appointments,Doctor,"Okay, we have nothing today. However, we have appointments tomorrow at 10:00 or 14:45.",B,8,
Spanish,A2,Making Appointments,Doctor,Can I have 14:45 please.,A,9,
Spanish,A2,Making Appointments,Doctor,"Of course, and I can also see from your record that you need a flu jab. Can I book you in for that too?",B,10,
Spanish,A2,Making Appointments,Doctor,"Actually, I would prefer to do it another time.",A,11,
Spanish,A2,Making Appointments,Doctor,"That's fine, but please book for your flu jab soon.",B,12,
Spanish,A2,Making Appointments,Doctor,"I will, goodbye.",A,13,
Spanish,A2,Making Appointments,Doctor,Goodbye.,B,14,
Spanish,B1,University life,Study plans,How are you?,A,1,
Spanish,B1,University life,Study plans,"I'm doing okay, you?",B,2,
Spanish,B1,University life,Study plans,I'm stressed.,A,3,
Spanish,B1,University life,Study plans,Why are you stressed?,B,4,
Spanish,B1,University life,Study plans,I have two assignments and they are both due next Monday. It's just too much!,A,5,
Spanish,B1,University life,Study plans,"Well, I have the same assignments, why don't we meet in the library and study together?",B,6,
Spanish,B1,University life,Study plans,"It's hard for me to study with other people, because I get distracted.",A,7,
Spanish,B1,University life,Study plans,"Well, I don't get distracted. Look, we can talk about the structure and share some ideas. ",B,8,
Spanish,B1,University life,Study plans,That would be really helpful. But I know that I can't sit in the library for hours. ,A,9,
Spanish,B1,University life,Study plans,You're not meant to. We will take a short break every couple of hours - that's the way to maintain focus!,B,10,
Spanish,B1,University life,Study plans,"That would be really helpful, thank you.",A,11,
Spanish,A2,Making travel arrangements,Expired Ticket,"Good morning, tickets please. ",A,1,
Spanish,A2,Making travel arrangements,Expired Ticket,"Good morning, here you go. ",B,2,
Spanish,A2,Making travel arrangements,Expired Ticket,Your ticket isn't valid for this part of the journey. You can pay the rest by card now. ,A,3,
Spanish,A2,Making travel arrangements,Expired Ticket,But the lady at the ticket office told me it will be okay for the whole journey. ,B,4,
Spanish,A2,Making travel arrangements,Expired Ticket,I'm sorry you must have misunderstood. Your ticket expired 3 stops ago so you have to pay up or I'm going to have to ask you to get off at the next station.,A,5,
Spanish,A2,Making travel arrangements,Expired Ticket,Fine. How much is the outstanding amount?,B,6,
Spanish,A2,Making travel arrangements,Expired Ticket,£3.20 please. ,A,7,
Spanish,A2,Making travel arrangements,Expired Ticket,Here's my card.,B,8,
Spanish,A2,Making travel arrangements,Expired Ticket,Thank you. Have a good day. ,A,9,
Spanish,A2,Making travel arrangements,Expired Ticket,You too. ,B,10,
Spanish,B1,Making travel arrangements,E.ticket,"Good morning, tickets please. ",A,1,
